year_of_filing,state,sector,dispute_type,claim_amount_slab,claim_amount_numeric,respondent_type,delay_days,has_written_contract,has_purchase_order,has_delivery_challan,num_invoices_submitted,doc_completeness_score,claimant_udyam_age_months,prior_cases_filed,case_status,resolution_days
2023,Uttar Pradesh,Food Processing,Quality Dispute Leading to Non-Payment,Above 1 Crore,15000000,Private Large Corp,299,1,1,0,8,0.75,47,0,Mutually Settled,83.0
2021,Jharkhand,Construction,Payment After Due Date,10-50 Lakh,3000000,Govt Department,564,1,0,1,6,1.0,88,0,Mutually Settled,124.0
2024,Gujarat,Textile & Apparel,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,468,0,1,0,7,0.77,54,0,Mutually Settled,134.0
2022,Tamil Nadu,IT & Software Services,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,CPSE,333,1,1,0,6,0.85,88,1,Mutually Settled,136.0
2017,Maharashtra,Printing & Packaging,Contract Breach,50 Lakh - 1 Crore,7500000,Private Large Corp,836,1,1,1,13,0.51,50,2,Mutually Settled,132.0
2018,Odisha,Construction,Payment After Due Date,10-50 Lakh,3000000,Private SME,351,1,1,0,1,0.41,44,0,Mutually Settled,29.0
2023,Kerala,Construction,Partial Payment,1-10 Lakh,500000,Private Large Corp,419,1,1,1,12,0.6,98,2,Mutually Settled,52.0
2021,Tamil Nadu,Food Processing,Non-Payment,10-50 Lakh,3000000,PSU,240,1,1,0,5,0.53,38,0,Mutually Settled,132.0
2021,Punjab,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,70,1,1,1,11,0.48,95,0,Disposed - In Favour of Claimant,192.0
2019,Telangana,Pharma & Chemicals,Partial Payment,Below 1 Lakh,50000,Private Large Corp,51,0,1,1,7,0.69,92,0,Mutually Settled,41.0
2019,Karnataka,Food Processing,Contract Breach,10-50 Lakh,3000000,Govt Department,526,0,1,1,14,0.41,95,0,Mutually Settled,151.0
2024,Karnataka,Engineering & Fabrication,Partial Payment,Below 1 Lakh,50000,CPSE,188,1,1,1,8,0.82,43,0,Mutually Settled,104.0
2024,Gujarat,Construction,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,748,1,0,0,5,0.57,116,1,Disposed - In Favour of Claimant,250.0
2022,Maharashtra,IT & Software Services,Partial Payment,1-10 Lakh,500000,Private Large Corp,705,0,0,1,8,0.64,2,2,Disposed - In Favour of Claimant,618.0
2020,Bihar,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,216,1,1,0,14,0.67,27,0,Mutually Settled,174.0
2025,Bihar,Food Processing,Non-Payment,1-10 Lakh,500000,Private SME,535,1,1,1,5,0.56,39,0,Mutually Settled,43.0
2023,Punjab,Engineering & Fabrication,Partial Payment,Above 1 Crore,15000000,Private Large Corp,141,0,1,1,1,0.9,19,0,Disposed - In Favour of Claimant,115.0
2024,Tamil Nadu,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,240,0,1,1,11,0.33,12,1,Disposed - In Favour of Claimant,293.0
2017,Uttar Pradesh,Manufacturing,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,305,0,0,1,12,0.91,9,0,Disposed - In Favour of Claimant,467.0
2021,West Bengal,Printing & Packaging,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Private Large Corp,281,1,1,1,11,0.58,47,0,Mutually Settled,130.0
2024,Bihar,Printing & Packaging,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,563,1,0,0,5,0.83,54,0,Disposed - In Favour of Claimant,563.0
2021,Kerala,Auto Components,Non-Payment,Below 1 Lakh,50000,Private Large Corp,104,1,0,0,13,0.69,93,0,Mutually Settled,111.0
2023,Madhya Pradesh,Construction,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,PSU,806,0,1,1,1,0.82,93,2,Mutually Settled,30.0
2023,Punjab,Pharma & Chemicals,Non-Payment,Below 1 Lakh,50000,PSU,97,1,1,1,4,0.63,89,0,Mutually Settled,94.0
2019,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,832,1,1,0,8,0.7,59,0,Mutually Settled,44.0
2023,Gujarat,Auto Components,Payment After Due Date,1-10 Lakh,500000,PSU,167,0,1,0,6,0.87,95,0,Disposed - In Favour of Claimant,340.0
2019,Bihar,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,583,1,1,1,2,0.67,51,0,Mutually Settled,25.0
2023,Delhi,IT & Software Services,Non-Payment,10-50 Lakh,3000000,Private Large Corp,861,0,1,1,14,0.92,56,1,Mutually Settled,124.0
2025,Maharashtra,Manufacturing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,262,1,1,1,12,0.72,62,2,Disposed - In Favour of Claimant,233.0
2025,Maharashtra,Construction,Payment After Due Date,50 Lakh - 1 Crore,7500000,Private Large Corp,740,0,1,1,3,0.5,56,0,Disposed - In Favour of Claimant,560.0
2024,Punjab,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private SME,134,0,1,1,1,0.58,26,0,Disposed - In Favour of Claimant,662.0
2022,Maharashtra,Textile & Apparel,Partial Payment,Below 1 Lakh,50000,Private Large Corp,488,1,1,1,6,0.83,90,0,Mutually Settled,16.0
2023,Gujarat,IT & Software Services,Partial Payment,Above 1 Crore,15000000,Private SME,83,1,0,1,10,0.4,57,0,Converted to Case - Pending,
2023,Karnataka,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,PSU,129,0,0,1,10,0.81,76,0,Mutually Settled,92.0
2017,Haryana,Printing & Packaging,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,153,1,0,1,6,0.58,100,0,Mutually Settled,29.0
2019,Punjab,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Govt Department,720,1,1,1,3,0.39,58,0,Mutually Settled,38.0
2022,Gujarat,Auto Components,Non-Payment,10-50 Lakh,3000000,Private Large Corp,754,1,1,1,1,0.69,37,2,Mutually Settled,50.0
2017,Haryana,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,810,1,0,1,2,0.51,87,0,Disposed - In Favour of Claimant,155.0
2024,Gujarat,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,Private Large Corp,784,1,1,1,1,0.54,15,0,Disposed - In Favour of Claimant,136.0
2022,Tamil Nadu,Engineering & Fabrication,Payment After Due Date,Below 1 Lakh,50000,PSU,48,1,1,1,3,0.52,73,0,Mutually Settled,172.0
2020,West Bengal,Auto Components,Non-Payment,10-50 Lakh,3000000,PSU,854,1,0,1,3,0.67,92,1,Mutually Settled,115.0
2021,Punjab,Food Processing,Non-Payment,1-10 Lakh,500000,Govt Department,717,1,1,1,1,0.57,88,0,Mutually Settled,126.0
2024,Andhra Pradesh,Textile & Apparel,Payment After Due Date,Below 1 Lakh,50000,Private Large Corp,337,1,1,1,8,0.73,111,0,Mutually Settled,152.0
2025,Punjab,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,CPSE,75,0,1,1,7,0.85,23,1,Converted to Case - Pending,
2019,Delhi,Electrical & Electronics,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,673,0,1,1,14,0.76,47,2,Disposed - In Favour of Claimant,255.0
2023,Maharashtra,IT & Software Services,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,212,1,1,1,14,1.0,51,0,Mutually Settled,148.0
2022,Uttar Pradesh,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,CPSE,138,1,1,1,11,1.0,31,0,Mutually Settled,62.0
2022,Tamil Nadu,IT & Software Services,Partial Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,263,0,1,0,6,0.59,30,1,Converted to Case - Pending,
2023,Gujarat,Textile & Apparel,Non-Payment,Below 1 Lakh,50000,CPSE,666,1,1,1,14,0.42,115,0,Mutually Settled,32.0
2020,Himachal Pradesh,Auto Components,Contract Breach,10-50 Lakh,3000000,Private Large Corp,134,1,0,1,7,0.59,100,2,Disposed - In Favour of Claimant,431.0
2022,Uttar Pradesh,Pharma & Chemicals,Partial Payment,Above 1 Crore,15000000,Private Large Corp,233,1,0,1,11,0.67,95,0,Disposed - In Favour of Claimant,657.0
2020,Kerala,Electrical & Electronics,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,741,0,1,1,2,1.0,113,2,Mutually Settled,115.0
2018,Punjab,Manufacturing,Non-Payment,Below 1 Lakh,50000,PSU,767,0,1,0,8,0.58,45,1,Disposed - In Favour of Claimant,482.0
2019,Madhya Pradesh,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,PSU,743,0,1,1,7,0.71,13,0,Mutually Settled,125.0
2019,Karnataka,Engineering & Fabrication,Quality Dispute Leading to Non-Payment,Below 1 Lakh,50000,Private Large Corp,327,0,1,1,1,0.51,7,1,Disposed - In Favour of Claimant,403.0
2022,Delhi,IT & Software Services,Non-Payment,Above 1 Crore,15000000,Private Large Corp,434,0,1,1,11,0.58,30,1,Disposed - In Favour of Claimant,217.0
2019,Rajasthan,Pharma & Chemicals,Non-Payment,Above 1 Crore,15000000,Private Large Corp,741,0,1,1,8,0.41,5,0,Disposed - In Favour of Claimant,500.0
2022,Gujarat,Construction,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,182,0,1,0,12,0.36,76,1,Disposed - In Favour of Claimant,101.0
2022,West Bengal,Auto Components,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,CPSE,333,1,1,0,12,0.92,95,0,Mutually Settled,97.0
2024,Tamil Nadu,Auto Components,Non-Payment,50 Lakh - 1 Crore,7500000,Private Large Corp,378,1,1,1,11,0.86,42,0,Mutually Settled,112.0
2023,Maharashtra,Construction,Non-Payment,1-10 Lakh,500000,Private SME,664,1,0,1,13,0.58,111,0,Disposed - In Favour of Claimant,724.0
2025,Punjab,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private Large Corp,457,0,0,0,12,0.86,22,0,Disposed - In Favour of Claimant,231.0
2018,Gujarat,Printing & Packaging,Non-Payment,Below 1 Lakh,50000,Private Large Corp,452,0,1,1,7,0.39,117,0,Disposed - In Favour of Claimant,553.0
2023,Jharkhand,Textile & Apparel,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,PSU,645,1,1,1,10,0.62,22,0,Mutually Settled,143.0
2017,Uttarakhand,Food Processing,Non-Payment,50 Lakh - 1 Crore,7500000,Private SME,170,1,0,1,10,0.68,65,3,Mutually Settled,173.0
2023,Odisha,Manufacturing,Non-Payment,50 Lakh - 1 Crore,7500000,Private SME,242,1,0,0,2,0.9,22,0,Disposed - In Favour of Claimant,221.0
2021,Uttar Pradesh,Construction,Non-Payment,Below 1 Lakh,50000,PSU,667,1,0,0,3,0.69,8,0,Mutually Settled,62.0
2022,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,552,1,1,0,6,0.76,117,1,Mutually Settled,42.0
2020,Odisha,IT & Software Services,Non-Payment,1-10 Lakh,500000,Private Large Corp,875,1,0,0,11,0.56,17,0,Converted to Case - Pending,
2019,Uttar Pradesh,Construction,Non-Payment,10-50 Lakh,3000000,Govt Department,93,1,1,1,6,0.7,48,0,Disposed - In Favour of Claimant,662.0
2023,Uttarakhand,Food Processing,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,367,1,1,0,4,0.9,101,0,Mutually Settled,83.0
2024,Uttarakhand,Construction,Non-Payment,1-10 Lakh,500000,Private SME,235,0,1,0,8,0.33,27,0,Rejected,96.0
2019,Andhra Pradesh,Food Processing,Quality Dispute Leading to Non-Payment,10-50 Lakh,3000000,Govt Department,668,1,1,0,10,0.88,63,0,Mutually Settled,96.0
2025,Tamil Nadu,Food Processing,Non-Payment,Below 1 Lakh,50000,Private SME,779,0,1,0,2,0.61,106,0,Disposed - In Favour of Claimant,621.0
2019,Uttar Pradesh,Food Processing,Partial Payment,1-10 Lakh,500000,PSU,542,1,1,0,13,0.37,14,3,Disposed - In Favour of Claimant,302.0
2023,Andhra Pradesh,Auto Components,Non-Payment,Above 1 Crore,15000000,Private SME,114,1,1,1,3,0.6,98,0,Mutually Settled,111.0
2025,Tamil Nadu,Pharma & Chemicals,Non-Payment,Below 1 Lakh,50000,Private Large Corp,741,1,1,1,7,0.91,97,0,Mutually Settled,45.0
2019,Gujarat,Auto Components,Partial Payment,1-10 Lakh,500000,PSU,375,0,1,1,4,0.55,5,0,Mutually Settled,25.0
2021,Karnataka,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private Large Corp,540,0,1,0,12,0.71,42,1,Disposed - In Favour of Claimant,297.0
2021,Jharkhand,Auto Components,Payment After Due Date,10-50 Lakh,3000000,Govt Department,721,0,0,1,11,0.33,88,1,Converted to Case - Pending,
2021,Haryana,Auto Components,Payment After Due Date,10-50 Lakh,3000000,PSU,337,0,1,1,8,0.28,68,1,Disposed - In Favour of Claimant,137.0
2023,Delhi,IT & Software Services,Partial Payment,10-50 Lakh,3000000,Private SME,564,0,1,1,14,0.43,21,2,Converted to Case - Pending,
2023,Maharashtra,Construction,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,778,1,1,1,10,0.85,25,0,Mutually Settled,39.0
2025,Delhi,Auto Components,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Govt Department,461,1,1,0,9,0.64,89,0,Mutually Settled,59.0
2019,Himachal Pradesh,Electrical & Electronics,Partial Payment,1-10 Lakh,500000,Private Large Corp,264,0,0,1,6,0.87,20,3,Disposed - In Favour of Claimant,92.0
2022,Gujarat,Food Processing,Contract Breach,Below 1 Lakh,50000,CPSE,615,1,1,1,6,0.88,43,0,Mutually Settled,18.0
2021,Karnataka,Construction,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,547,0,1,1,12,0.5,86,2,Disposed - In Favour of Claimant,291.0
2024,Kerala,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private SME,321,1,1,0,6,0.96,32,1,Mutually Settled,145.0
2017,West Bengal,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,PSU,463,1,0,0,8,0.54,98,0,Mutually Settled,133.0
2025,Haryana,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Private SME,608,1,1,1,11,0.85,83,0,Mutually Settled,177.0
2022,Haryana,IT & Software Services,Payment After Due Date,Below 1 Lakh,50000,PSU,465,1,1,0,2,0.84,1,0,Mutually Settled,78.0
2023,Uttar Pradesh,Food Processing,Partial Payment,1-10 Lakh,500000,Govt Department,772,1,1,1,2,0.66,17,0,Mutually Settled,55.0
2021,Tamil Nadu,Construction,Payment After Due Date,Above 1 Crore,15000000,Private Large Corp,206,1,1,1,14,0.66,86,1,Mutually Settled,147.0
2024,Telangana,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Govt Department,46,1,1,1,10,0.71,38,0,Mutually Settled,125.0
2022,Telangana,Manufacturing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,112,1,1,0,13,0.67,101,3,Mutually Settled,172.0
2023,Kerala,Engineering & Fabrication,Non-Payment,Below 1 Lakh,50000,Govt Department,607,0,1,1,6,0.57,81,0,Mutually Settled,17.0
2023,Bihar,IT & Software Services,Partial Payment,1-10 Lakh,500000,Private Large Corp,592,1,1,0,7,0.55,106,0,Mutually Settled,122.0
2021,Karnataka,Pharma & Chemicals,Partial Payment,Below 1 Lakh,50000,Govt Department,208,1,1,1,10,0.57,82,0,Mutually Settled,27.0
2018,Karnataka,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,360,1,1,1,13,0.89,41,0,Mutually Settled,63.0
2024,Madhya Pradesh,Pharma & Chemicals,Partial Payment,1-10 Lakh,500000,Private Large Corp,378,1,1,1,6,0.33,103,0,Disposed - In Favour of Claimant,729.0
2020,Punjab,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private SME,654,1,0,1,3,0.55,112,0,Mutually Settled,171.0
2024,Haryana,Food Processing,Non-Payment,Below 1 Lakh,50000,Private SME,570,1,1,1,10,0.58,11,0,Mutually Settled,85.0
2022,Madhya Pradesh,Construction,Payment After Due Date,1-10 Lakh,500000,Govt Department,323,1,0,1,11,0.6,77,2,Mutually Settled,178.0
2021,Kerala,Manufacturing,Non-Payment,10-50 Lakh,3000000,CPSE,101,1,1,1,12,0.71,72,1,Mutually Settled,116.0
2022,Tamil Nadu,Textile & Apparel,Partial Payment,Below 1 Lakh,50000,Private Large Corp,434,1,1,1,6,0.38,96,0,Mutually Settled,78.0
2023,Uttar Pradesh,Pharma & Chemicals,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,638,1,0,0,10,0.86,56,1,Mutually Settled,37.0
2023,Maharashtra,Electrical & Electronics,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,759,1,1,1,13,0.83,65,0,Mutually Settled,21.0
2024,Delhi,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,296,0,1,1,12,0.78,45,0,Disposed - In Favour of Claimant,284.0
2019,Maharashtra,Food Processing,Partial Payment,10-50 Lakh,3000000,Private Large Corp,776,0,1,1,3,0.61,12,0,Disposed - In Favour of Claimant,276.0
2025,Rajasthan,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Govt Department,572,0,0,1,1,0.5,116,0,Disposed - In Favour of Claimant,261.0
2021,Karnataka,IT & Software Services,Payment After Due Date,10-50 Lakh,3000000,Private Large Corp,666,1,1,1,11,0.58,60,0,Mutually Settled,160.0
2024,Tamil Nadu,Engineering & Fabrication,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,343,1,1,0,12,0.66,12,0,Mutually Settled,44.0
2020,Delhi,Food Processing,Non-Payment,1-10 Lakh,500000,PSU,438,1,0,1,4,0.78,60,2,Mutually Settled,87.0
2017,Maharashtra,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,169,1,1,0,14,0.63,111,0,Disposed - In Favour of Claimant,401.0
2022,Maharashtra,Printing & Packaging,Partial Payment,10-50 Lakh,3000000,Private Large Corp,116,1,1,0,4,0.72,99,0,Mutually Settled,24.0
2021,Telangana,Manufacturing,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,742,1,1,1,2,0.56,7,0,Mutually Settled,66.0
2025,Uttar Pradesh,Textile & Apparel,Non-Payment,1-10 Lakh,500000,CPSE,439,0,1,0,11,0.71,83,0,Mutually Settled,171.0
2019,Maharashtra,Manufacturing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,749,0,1,1,6,0.6,88,3,Mutually Settled,92.0
2018,Karnataka,Construction,Payment After Due Date,Below 1 Lakh,50000,Private SME,470,1,1,1,11,0.7,6,0,Mutually Settled,84.0
2018,Madhya Pradesh,Construction,Non-Payment,Above 1 Crore,15000000,PSU,373,0,1,1,13,0.3,35,0,Mutually Settled,83.0
2020,Gujarat,Food Processing,Non-Payment,Below 1 Lakh,50000,Private Large Corp,105,0,1,0,11,0.75,1,0,Mutually Settled,138.0
2022,Delhi,Food Processing,Non-Payment,10-50 Lakh,3000000,Private Large Corp,588,0,1,1,5,0.76,40,0,Mutually Settled,133.0
2022,Maharashtra,IT & Software Services,Non-Payment,1-10 Lakh,500000,Govt Department,612,0,1,1,1,0.76,111,2,Mutually Settled,35.0
2021,Maharashtra,Auto Components,Partial Payment,50 Lakh - 1 Crore,7500000,CPSE,500,1,1,1,2,0.45,40,0,Converted to Case - Pending,
2018,Karnataka,Engineering & Fabrication,Non-Payment,Below 1 Lakh,50000,Private Large Corp,719,1,1,0,6,0.51,109,1,Disposed - In Favour of Claimant,605.0
2020,Karnataka,Auto Components,Non-Payment,1-10 Lakh,500000,Private Large Corp,782,0,1,0,14,0.48,108,1,Converted to Case - Pending,
2019,Punjab,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Private Large Corp,177,1,0,1,3,0.72,25,0,Mutually Settled,148.0
2023,West Bengal,IT & Software Services,Non-Payment,Above 1 Crore,15000000,Private Large Corp,147,0,0,1,7,0.78,7,0,Converted to Case - Pending,
2023,Himachal Pradesh,Manufacturing,Partial Payment,Above 1 Crore,15000000,Private SME,781,0,0,1,1,0.51,80,0,Disposed - In Favour of Claimant,133.0
2023,Karnataka,Printing & Packaging,Non-Payment,1-10 Lakh,500000,PSU,276,1,1,1,7,0.91,56,1,Mutually Settled,79.0
2025,Tamil Nadu,Pharma & Chemicals,Partial Payment,10-50 Lakh,3000000,Private Large Corp,616,1,1,1,3,0.91,33,1,Mutually Settled,179.0
2024,Madhya Pradesh,Electrical & Electronics,Non-Payment,10-50 Lakh,3000000,CPSE,854,1,1,1,13,0.68,1,0,Mutually Settled,169.0
2022,Tamil Nadu,Construction,Non-Payment,1-10 Lakh,500000,Private Large Corp,263,1,1,0,6,0.72,23,0,Mutually Settled,114.0
2021,Rajasthan,Auto Components,Non-Payment,1-10 Lakh,500000,Govt Department,328,1,1,1,1,0.31,94,1,Disposed - In Favour of Claimant,518.0
2024,Maharashtra,Engineering & Fabrication,Non-Payment,Above 1 Crore,15000000,Govt Department,636,1,1,1,11,0.54,7,0,Disposed - In Favour of Claimant,557.0
2022,Maharashtra,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private Large Corp,706,1,1,0,1,0.4,99,0,Disposed - In Favour of Claimant,124.0
2020,Uttarakhand,Printing & Packaging,Partial Payment,Below 1 Lakh,50000,Private Large Corp,413,0,1,1,1,0.47,54,0,Converted to Case - Pending,
2022,Telangana,Construction,Payment After Due Date,1-10 Lakh,500000,Private Large Corp,136,1,1,0,6,0.75,29,0,Mutually Settled,19.0
2025,Haryana,Electrical & Electronics,Non-Payment,1-10 Lakh,500000,CPSE,783,0,0,0,2,0.8,102,0,Converted to Case - Pending,
2024,Uttar Pradesh,Food Processing,Non-Payment,1-10 Lakh,500000,Private SME,414,0,1,0,10,0.81,70,0,Disposed - In Favour of Claimant,554.0
2020,Gujarat,Printing & Packaging,Non-Payment,1-10 Lakh,500000,Private Large Corp,184,1,1,0,8,0.7,100,0,Disposed - In Favour of Claimant,667.0
2025,Gujarat,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Govt Department,388,1,1,1,9,0.75,96,0,Mutually Settled,64.0
2025,Tamil Nadu,Textile & Apparel,Non-Payment,1-10 Lakh,500000,Govt Department,159,0,1,0,6,0.33,9,0,Converted to Case - Pending,
2020,Karnataka,Food Processing,Non-Payment,1-10 Lakh,500000,Private Large Corp,67,1,1,1,11,0.39,20,0,Converted to Case - Pending,
2024,Haryana,Manufacturing,Non-Payment,Below 1 Lakh,50000,PSU,68,1,1,1,9,0.61,84,2,Mutually Settled,97.0
2024,Punjab,IT & Software Services,Non-Payment,50 Lakh - 1 Crore,7500000,Govt Department,110,1,1,1,11,0.77,59,2,Mutually Settled,100.0
2018,Tamil Nadu,Food Processing,Quality Dispute Leading to Non-Payment,1-10 Lakh,500000,Private Large Corp,616,1,1,1,13,0.56,92,0,Mutually Settled,135.0
2023,Uttarakhand,Electrical & Electronics,Partial Payment,10-50 Lakh,3000000,Private SME,505,1,1,0,12,0.38,94,0,Disposed - In Favour of Claimant,465.0
2020,West Bengal,Textile & Apparel,Payment After Due Date,1-10 Lakh,500000,Govt Department,646,1,1,0,11,0.51,47,2,Mutually Settled,129.0
2023,Karnataka,Printing & Packaging,Partial Payment,1-10 Lakh,500000,Private Large Corp,755,1,1,1,7,0.46,58,0,Converted to Case - Pending,
2024,Delhi,Textile & Apparel,Partial Payment,1-10 Lakh,500000,Private SME,159,1,1,1,10,0.31,69,0,Mutually Settled,150.0
2022,Uttar Pradesh,Pharma & Chemicals,Non-Payment,10-50 Lakh,3000000,Private Large Corp,542,1,1,0,3,1.0,111,3,Mutually Settled,133.0
2021,Gujarat,IT & Software Services,Partial Payment,50 Lakh - 1 Crore,7500000,Private SME,527,1,1,1,12,0.9,18,0,Disposed - In Favour of Claimant,300.0
2025,Uttar Pradesh,Engineering & Fabrication,Non-Payment,1-10 Lakh,500000,Private Large Corp,585,1,0,1,9,0.25,6,2,Converted to Case - Pending,
2025,West Bengal,Pharma & Chemicals,Non-Payment,1-10 Lakh,500000,Govt Department,767,1,0,1,7,0.27,71,0,Converted to Case - Pending,
2018,Maharashtra,Manufacturing,Partial Payment,10-50 Lakh,3000000,Private SME,284,1,1,1,5,0.49,3,0,Converted to Case - Pending,
